generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
400,26084,0,0,0,52956,0,0,0,62221,0,0,0,29353,0,0,0,24571,0,0,0,29378,0,0,0,0.006815,0.002985,0.005203,0.012258,0.008101,0.007127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
410,19145,0,0,0,34230,0,0,0,45571,0,0,0,29285,0,0,0,19751,0,0,0,28711,0,0,0,0.009392,0.005630,0.010638,0.017724,0.011992,0.015897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
420,17207,0,0,0,53479,0,0,0,58745,0,0,0,29542,0,0,0,17877,0,0,0,26181,0,0,0,0.017683,0.015487,0.017100,0.039637,0.022337,0.020620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
430,20957,0,0,0,41208,0,0,0,52946,0,0,0,30587,0,0,0,18082,0,0,0,28192,0,0,0,0.008414,0.007807,0.008399,0.012277,0.007656,0.008441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
440,30428,0,0,0,51461,0,0,0,61584,0,0,0,42723,0,0,0,29989,0,0,0,41205,0,0,0,0.011481,0.011530,0.011617,0.028567,0.010124,0.015549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
450,30707,0,0,0,60204,0,0,0,70906,0,0,0,37246,0,0,0,30338,0,0,0,42591,0,0,0,0.004948,0.002613,0.004195,0.004830,0.006268,0.004074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
460,25004,0,0,0,49025,0,0,0,68675,0,0,0,50991,0,0,0,25919,0,0,0,42223,0,0,0,0.016520,0.013612,0.017346,0.042362,0.032369,0.026704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
470,15656,0,0,0,31748,0,0,0,42328,0,0,0,30870,0,0,0,15178,0,0,0,26925,0,0,0,0.008788,0.006159,0.009462,0.020188,0.017718,0.012205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
480,14531,0,0,0,32568,0,0,0,46237,0,0,0,36348,0,0,0,18473,0,0,0,27589,0,0,0,0.025765,0.015919,0.021083,0.078962,0.052233,0.053357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
490,12431,0,0,0,31729,0,0,0,39846,0,0,0,21398,0,0,0,12837,0,0,0,21582,0,0,0,0.008515,0.008701,0.008795,0.013148,0.010355,0.008055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
500,23233,0,0,0,38474,0,0,0,60187,0,0,0,34484,0,0,0,26369,0,0,0,32980,0,0,0,0.006675,0.008399,0.007730,0.021763,0.017872,0.013615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
510,16871,0,0,0,40330,0,0,0,49321,0,0,0,38445,0,0,0,20830,0,0,0,34658,0,0,0,0.019339,0.015684,0.015750,0.044748,0.029427,0.030193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
520,16589,0,0,0,38762,0,0,0,45979,0,0,0,35202,0,0,0,18875,0,0,0,30165,0,0,0,0.016345,0.011120,0.016585,0.036167,0.017766,0.021473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
530,22223,0,0,0,38823,0,0,0,42822,0,0,0,49459,0,0,0,26060,0,0,0,40192,0,0,0,0.014482,0.007143,0.012802,0.033125,0.031662,0.025012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
540,14514,0,0,0,33649,0,0,0,36533,0,0,0,32808,0,0,0,17300,0,0,0,29323,0,0,0,0.009321,0.006150,0.009067,0.046848,0.035856,0.017534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
550,20076,0,0,0,60281,0,0,0,68557,0,0,0,49177,0,0,0,24732,0,0,0,43537,0,0,0,0.025592,0.014909,0.020841,0.060162,0.034685,0.031591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
560,12668,0,0,0,43489,0,0,0,47694,0,0,0,32864,0,0,0,13943,0,0,0,31260,0,0,0,0.012050,0.011566,0.017744,0.031732,0.021783,0.020983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
570,14616,0,0,0,38230,0,0,0,41650,0,0,0,45129,0,0,0,19523,0,0,0,41547,0,0,0,0.026523,0.016702,0.021073,0.062647,0.054384,0.034163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
