generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
66640,56485.2695,838800.0000,224968,0.070525,0.000000,0.047513,0.014732,-0.110400,-0.608165,0.000000,0.110449,0.109372,0.063094,-0.170562,12.5,6,18,5.6,2,11,4923,1.739581,3642,0.001827,0,0.001916
66650,26177.7949,480100.0000,184487,0.000000,0.000000,0.000000,0.002697,0.228409,-0.743197,0.000000,0.491828,0.069378,0.000000,0.000000,12.5,7,18,5.5,2,10,5798,1.730483,4409,0.002052,0,0.002951
66660,32038.8027,524200.0000,207446,0.134595,0.000000,0.027831,0.009886,-0.049402,-0.598995,0.000000,0.255227,0.108572,0.005045,-0.040469,12.5,6,18,5.6,2,11,5783,1.724497,3690,0.001703,0,0.001571
66670,38857.7188,570550.0000,228503,0.071734,0.000000,0.013810,0.010784,0.166512,-0.719083,0.000000,0.304054,0.112397,0.010420,-0.003590,12.5,6,18,5.6,2,10,5105,1.742162,4088,0.001534,0,0.000539
66680,29232.4297,494550.0312,201221,0.000816,0.000000,0.093285,0.003247,0.100857,-0.685959,0.000000,0.234545,0.094926,0.000000,0.000000,12.5,7,18,5.6,2,11,5934,1.733823,3054,0.000801,0,0.000643
66690,26258.3125,461600.0000,192907,0.116445,0.000000,0.021855,0.004451,0.144185,-0.727657,0.000000,0.418735,0.083109,0.059646,-0.089813,12.5,7,18,5.6,2,11,5875,1.731382,4153,0.003438,0,0.000967
66700,39455.0000,611700.0000,216729,0.131163,0.000000,0.015577,0.006229,0.153050,-0.679152,0.000000,0.154950,0.090430,0.046640,-0.008784,12.5,7,18,5.6,2,11,5263,1.724713,3978,0.001769,0,0.001445
66710,28531.1777,544800.0000,177938,0.063299,0.000000,0.020908,0.003334,0.169305,-0.652933,0.000000,0.140574,0.106056,0.023543,-0.073627,12.5,7,18,5.6,2,11,5977,1.738665,4224,0.002803,0,0.002511
66720,34409.5312,609200.0000,191800,0.003722,0.000000,0.043077,0.003882,0.008441,-0.632685,0.000000,0.002040,0.098577,0.000000,0.000000,12.4,7,19,5.6,2,10,5884,1.736267,4040,0.002010,0,0.001403
66730,33186.7930,575050.0000,194158,0.210654,0.000000,0.033354,0.007490,-0.214373,-0.691581,0.000000,0.337564,0.102348,0.057827,-0.116340,12.4,7,18,5.6,2,11,5496,1.733550,3802,0.001812,0,0.002020
66740,76238.1875,918950.0000,275780,0.096029,0.000000,0.027992,0.006558,0.246936,-0.623754,0.000000,0.274276,0.120821,0.051440,-0.140734,12.5,7,18,5.6,2,10,4203,1.739055,2320,0.001318,0,0.000613
66750,55035.0156,824650.0000,223200,0.048627,0.000000,0.025290,0.009754,0.172297,-0.611739,0.000000,0.231036,0.101738,0.000000,0.000000,12.5,7,17,5.6,2,11,5002,1.737863,1932,0.001841,0,0.002914
66760,39132.7461,593000.0000,220478,0.167376,0.000000,0.013889,0.005843,-0.159847,-0.706386,0.000000,0.307834,0.110799,0.064439,-0.016622,12.5,7,17,5.6,3,11,4999,1.740747,4052,0.001683,0,0.001403
66770,108742.3438,1149000.0000,312011,0.262882,0.000000,0.017988,0.007142,-0.113776,-0.527238,0.000000,0.482468,0.092068,0.038118,-0.120174,12.5,7,17,5.6,3,11,3237,1.730254,2963,0.000744,0,0.000359
66780,32703.4375,561650.0000,196800,0.036781,0.000000,0.019180,0.008590,0.278220,-0.665351,0.000000,0.292501,0.124936,0.015983,-0.002261,12.4,6,17,5.6,2,10,5651,1.728553,2463,0.001382,0,0.001349
66790,90908.6641,994500.0000,303511,0.146422,0.000000,0.022738,0.009071,0.232181,-0.547488,0.000000,0.276576,0.079411,0.031629,-0.103159,12.5,6,18,5.6,2,10,3827,1.736516,1927,0.001155,0,0.000448
66800,49332.5703,771800.0000,214481,0.076757,0.000000,0.035513,0.012891,0.235890,-0.628729,0.000000,0.089830,0.118408,0.050368,-0.137951,12.5,7,19,5.6,3,10,5208,1.741418,3594,0.001318,0,0.000730
66810,37818.8125,647000.0000,196830,0.001256,0.000000,0.047957,0.002975,0.096112,-0.655518,0.000000,0.241070,0.107770,0.000000,0.000000,12.5,7,18,5.6,2,11,5502,1.738610,3220,0.002574,0,0.002734
66820,49930.1562,765250.0000,221154,0.013962,0.000000,0.038991,0.007552,0.062287,-0.553975,0.000000,-0.005681,0.092772,0.000000,0.000000,12.5,7,18,5.6,2,10,5615,1.740873,3515,0.001177,0,0.000579
66830,62999.0000,812450.0000,258726,0.049981,0.000000,0.026807,0.004870,0.241324,-0.644175,0.000000,0.097141,0.095382,0.039773,-0.110130,12.5,7,17,5.6,2,11,4556,1.736914,3213,0.000798,0,0.000125
66840,63701.9609,346559.4062,307138,0.037274,0.000000,0.018027,0.007172,-0.947594,-0.748302,0.000000,0.748927,0.117581,0.000000,0.000000,12.5,7,18,5.6,2,11,3454,1.735111,2504,0.000415,0,0.000355
66850,48281.1836,717882.9375,217421,0.005857,0.000000,0.034545,0.005176,-0.838719,-0.686731,0.000000,0.324116,0.082907,0.000000,0.000000,12.5,6,17,5.6,2,11,5097,1.744389,3274,0.001618,0,0.001814
66860,46492.4258,703800.0000,222960,0.005072,0.000000,0.037982,0.009630,0.219850,-0.626139,0.000000,0.235377,0.084147,0.029237,-0.081841,12.5,7,17,5.5,2,11,5450,1.741510,1465,0.002148,0,0.000373
66870,41492.5820,704800.0000,198943,0.066030,0.000000,0.024460,0.003513,0.178609,-0.608113,0.000000,0.146223,0.090936,0.020059,0.001092,12.5,7,17,5.6,3,11,5640,1.740675,3326,0.001998,0,0.002148
66880,25592.2246,490200.0000,176559,0.019795,0.000000,0.010777,0.006455,0.241309,-0.736373,0.000000,0.406591,0.152214,0.153343,0.418048,12.4,6,18,5.6,2,11,5816,1.730111,3313,0.003798,0,0.003526
66890,57805.2148,721900.0000,269518,0.050405,0.000000,0.015578,0.003892,0.229090,-0.653860,0.000000,0.409658,0.062640,0.000000,0.000000,12.5,7,18,5.6,2,10,5007,1.740212,2721,0.001231,0,0.000117
